company,year,score_q1,score_q2,score_q3,score_q4,score_q5,score_q6,score_q7,score_q8,score_q9,score_q10,score_q11,score_q12,score_q13,score_q14,score_q15,score_q16,score_q17,score_q18,score_q19,score_q20,score_q21,score_q22,score_q23,score_q24,score_q25,score_q26,score_q27,score_q28,score_q29,score_q30,score_q31,score_q32,score_q33,score_q34,score_q35,score_q36,score_q37,score_q38,score_q39,score_q40,score_q41,score_q42,score_q43,score_q44,score_q45,score_q46,score_q47,score_q48,score_q49,score_q50,score_q51,score_q52,score_q53,score_q54,score_q55,score_q56,score_q57,score_q58,score_q59,score_q60,score_q61,score_q62,score_q63,score_q64,score_q65,score_q66,score_q67,score_q68,score_q69,vdi_score_scaled,vdi_score_unscaled
ITC,2015,0.972368597984314,0.9900943636894226,0.9902072548866272,0.9817616939544678,0.955204963684082,0.9545987248420716,0.9778688549995422,0.9639325141906738,0.9454900026321412,0.979250967502594,0.9849947094917296,0.978635549545288,0.9748778343200684,0.9609174132347108,0.9902413487434388,0.890841007232666,0.9257038831710817,0.8600393533706665,0.9611404538154602,0.9245375394821168,0.876671552658081,0.92634916305542,0.8990405797958374,0.8318935036659241,0.9835440516471864,0.9888840913772584,0.8459818959236145,0.9512945413589478,0.9849294424057008,0.9392847418785096,0.9507393836975098,0.9434452652931212,0.971839964389801,0.9320436120033264,0.9585670828819276,0.9294471144676208,0.948392391204834,0.9800420999526978,0.7707266211509705,0.9943734407424928,0.98650461435318,0.8855767250061035,0.9784719347953796,0.9621687531471252,0.8464145660400391,0.6371376514434814,0.9832074642181396,0.907774031162262,0.944025993347168,0.9602940678596495,0.8611125349998474,0.908804178237915,0.9711326956748962,0.9788714051246644,0.7869821786880493,0.954213798046112,0.7879540920257568,0.9760433435440063,0.9763214588165284,0.9645744562149048,0.9858638644218444,0.9831542372703552,0.8397276997566223,0.9821742177009584,0.9777344465255736,0.9027631878852844,0.9625025391578674,0.985496461391449,0.9455236792564392,115.3846154,79.61538462
ITC,2016,0.9732933044433594,0.9889801144599916,0.993998408317566,0.990911602973938,0.9345795512199402,0.9538114070892334,0.9734593033790588,0.9552063941955566,0.9656487107276917,0.9895312190055848,0.9831308126449584,0.9895228743553162,0.9775251150131226,0.971331000328064,0.9894177913665771,0.9135288000106812,0.9483315944671632,0.931847333908081,0.976100504398346,0.9622904062271118,0.8634088635444641,0.8507980108261108,0.9120168685913086,0.7686236500740051,0.9834893345832824,0.989587903022766,0.9001069068908691,0.8570830225944519,0.97303968667984,0.9764335751533508,0.9093256592750548,0.9341397285461426,0.98453027009964,0.9328337907791138,0.9669760465621948,0.9778441190719604,0.964551031589508,0.973186731338501,0.9515288472175598,0.9963111877441406,0.9831591248512268,0.8780961632728577,0.9660620093345642,0.9770517349243164,0.8218997120857239,0.7222825884819031,0.9923586845397948,0.9749451875686646,0.8300333023071289,0.969799816608429,0.8127340078353882,0.93026864528656,0.9549351334571838,0.9843660593032836,0.8297642469406128,0.7447455525398254,0.7823777794837952,0.9695199131965636,0.97108793258667,0.9880316257476808,0.9894545674324036,0.983280062675476,0.7836081981658936,0.9847079515457152,0.9768977761268616,0.9679176211357116,0.9609522819519044,0.966864287853241,0.9641065001487732,55.07246377,38.0
ITC,2017,0.9738235473632812,0.9915031790733336,0.992625653743744,0.9880927801132202,0.9594417810440063,0.9621483087539672,0.9466614723205566,0.983164131641388,0.9676570296287536,0.9846861958503724,0.98370361328125,0.980484426021576,0.9865384101867676,0.9536031484603882,0.9891214966773988,0.8920630812644958,0.92940354347229,0.9014065265655518,0.9795094728469848,0.9333181381225586,0.8158775568008423,0.9107451438903807,0.904933512210846,0.8543102145195007,0.9935204982757568,0.9255453944206238,0.8762218952178955,0.8368223309516907,0.9736274480819702,0.9625698924064636,0.9136024713516236,0.9527458548545836,0.9677518010139464,0.8633047342300415,0.9710997939109802,0.9002000689506531,0.9814512133598328,0.9813072681427002,0.837813675403595,0.9917502403259276,0.978893220424652,0.8025182485580444,0.9862655997276306,0.9750754237174988,0.9576665759086608,0.5913549065589905,0.9947544932365416,0.9725675582885742,0.855344831943512,0.9788587093353271,0.7781529426574707,0.9109888672828674,0.9415167570114136,0.9833132028579712,0.9791032671928406,0.9214522242546082,0.8672575354576111,0.9920608997344972,0.9693973660469056,0.9788772463798524,0.9959102272987366,0.9715550541877748,0.8466957211494446,0.9579396843910216,0.9627204537391664,0.975435435771942,0.9685978889465332,0.9771353602409364,0.9380559921264648,60.86,41.9934
ITC,2018,0.9766051173210144,0.9913082122802734,0.9918094873428344,0.9855630397796632,0.9466688632965088,0.9809731245040894,0.9521732926368712,0.955957531929016,0.974088191986084,0.9795294404029846,0.9723546504974364,0.9814056754112244,0.9743323922157288,0.9651216864585876,0.9883739948272704,0.9070925116539,0.932319164276123,0.773485541343689,0.9824889898300172,0.9528442025184632,0.8389055132865906,0.8966175317764282,0.9423576593399048,0.8917192220687866,0.984965443611145,0.9846595525741576,0.9259254336357116,0.9323261976242064,0.9773030281066896,0.983334481716156,0.8925027251243591,0.9639112949371338,0.9533795714378356,0.8728899955749512,0.982750117778778,0.9369829297065736,0.9777284264564514,0.9840130805969238,0.7567165493965149,0.9945799112319946,0.9747950434684752,0.7099160552024841,0.9871786832809448,0.9750056266784668,0.9283345341682434,0.7624274492263794,0.9970399141311646,0.9533324241638184,0.9598372578620912,0.95915549993515,0.4805765748023987,0.9359489679336548,0.9601759910583496,0.9881033301353456,0.9683554768562316,0.9717425107955932,0.8862570524215698,0.9856004118919371,0.9715750217437744,0.9890204668045044,0.9872978329658508,0.9634835720062256,0.7892302870750427,0.9339929223060608,0.9652618169784546,0.967284619808197,0.9763401746749878,0.989100217819214,0.9361631274223328,60.86,41.9934
Infosys,2014,0.9804134964942932,0.990167796611786,0.9857912063598632,0.9829297065734864,0.942527711391449,0.9455164074897766,0.9493460655212402,0.9857707619667052,0.902893841266632,0.9814135432243348,0.949351966381073,0.973349392414093,0.97202867269516,0.9612135887145996,0.9852184653282166,0.9547093510627748,0.9655495882034302,0.9718571901321412,0.9774121046066284,0.9317777752876282,0.8338435292243958,0.9144476652145386,0.8673121333122253,0.7504721879959106,0.9836538434028624,0.96799898147583,0.8483316898345947,0.9745836853981018,0.9735825657844543,0.970010221004486,0.9895687699317932,0.9559802412986756,0.9849210381507874,0.9594411849975586,0.9773971438407898,0.9707096815109252,0.9223869442939758,0.9825454354286194,0.7739163041114807,0.9924780130386353,0.953405261039734,0.8571131825447083,0.9640467166900636,0.9703543782234192,0.8003401160240173,0.6418152451515198,0.9967963099479676,0.8177303671836853,0.8310133814811707,0.9316150546073914,0.4724239110946655,0.884680449962616,0.9213662147521972,0.963862419128418,0.8439138531684875,0.6596984267234802,0.6405298113822937,0.9655452966690063,0.9716688394546508,0.94316965341568,0.9801769852638244,0.9805883169174194,0.8952685594558716,0.9690935015678406,0.9871249198913574,0.9560206532478333,0.9573706984519958,0.9739482402801514,0.9875933527946472,55.07246377,38.0
Infosys,2015,0.9743303656578064,0.9887313842773438,0.9866937398910522,0.9889343976974488,0.9560497403144836,0.9472424983978271,0.9684102535247804,0.97658109664917,0.9593055248260498,0.9836254715919496,0.9623330235481262,0.9693857431411744,0.9771059155464172,0.9432098269462584,0.9856149554252625,0.9447778463363647,0.936166286468506,0.949920117855072,0.9784281849861144,0.8977149724960327,0.8536129593849182,0.93129301071167,0.8651071190834045,0.8688199520111084,0.9932888746261596,0.96760094165802,0.9252662062644958,0.9684419631958008,0.9842903017997742,0.9842868447303772,0.9891546368598938,0.9638735055923462,0.9700613617897034,0.9604030251502992,0.9861038327217102,0.9546769261360168,0.9390939474105836,0.9724752306938172,0.7969262599945068,0.99179607629776,0.9636251330375672,0.862032949924469,0.9679338335990906,0.971169650554657,0.8942676782608032,0.6277201771736145,0.9878856539726256,0.785490870475769,0.8981243371963501,0.866186797618866,0.8756785988807678,0.8465186953544617,0.9222078323364258,0.9769870042800904,0.9053918719291688,0.7962852716445923,0.7293465733528137,0.9659907817840576,0.9642916917800904,0.9585062265396118,0.9822378158569336,0.9832472205162048,0.8229319453239441,0.9938817024230956,0.9910460710525512,0.9805173873901368,0.9769721627235411,0.9781701564788818,0.9801554679870604,60.86956522,42.0
Infosys,2016,0.9742000699043274,0.9850932359695436,0.9863086342811584,0.9807193875312804,0.8452194333076477,0.9493643045425416,0.9544460773468018,0.9702542424201964,0.9797374606132508,0.9594112038612366,0.9416570663452148,0.9846097230911256,0.9754242897033693,0.9690855145454408,0.98078590631485,0.9140753149986268,0.9509321451187134,0.9683696031570436,0.961719274520874,0.9335491061210632,0.9154447317123412,0.9095064997673036,0.8640811443328857,0.8114018440246582,0.9919912815093994,0.9661681652069092,0.8310537338256836,0.981949746608734,0.9820160865783693,0.9602556824684144,0.9817020893096924,0.9685743451118468,0.9834746718406676,0.9463687539100648,0.9764875173568726,0.9902198314666748,0.8699784278869629,0.9785460829734802,0.8728160262107849,0.9801828861236572,0.9431106448173524,0.9473156332969666,0.9603173732757568,0.975344717502594,0.966884970664978,0.8141522407531738,0.9918259382247924,0.7549555897712708,0.943375289440155,0.8775700926780701,0.9046995639801024,0.907570481300354,0.9433274865150452,0.98533695936203,0.7910851240158081,0.7616380453109741,0.7489043474197388,0.9852780103683472,0.941786766052246,0.9496375918388368,0.973983883857727,0.9794381856918336,0.9364217519760132,0.9941613078117372,0.9883224964141846,0.9200810194015504,0.9754337072372437,0.9784070253372192,0.9826979637145996,68.11594203,47.0
Infosys,2017,0.9780507683753968,0.9856024980545044,0.9848458170890808,0.986525058746338,0.962471067905426,0.9496316313743592,0.9635274410247804,0.955293357372284,0.9794604182243348,0.980291783809662,0.9696071743965148,0.980443239212036,0.9804482460021972,0.954545557498932,0.9891830682754515,0.9313872456550598,0.942072093486786,0.9662660360336304,0.967804789543152,0.9490606188774108,0.9874920845031738,0.9557307362556458,0.9522706866264344,0.7934930324554443,0.990290343761444,0.846811830997467,0.9303117394447328,0.975294589996338,0.980935513973236,0.9714317917823792,0.9611652493476868,0.9724926352500916,0.9709182381629944,0.9776200652122498,0.9657663106918336,0.964592695236206,0.905710220336914,0.9690809845924376,0.8103790879249573,0.98818039894104,0.9593531489372252,0.7525638341903687,0.9602723121643066,0.9595537781715392,0.9734348654747008,0.7432422637939453,0.9922986030578612,0.9565402269363404,0.9865171909332277,0.9293444752693176,0.6737449169158936,0.9190519452095032,0.9368277788162231,0.988554298877716,0.88553786277771,0.7516494989395142,0.741401731967926,0.985776662826538,0.9649882316589355,0.9491710066795348,0.9707247018814088,0.9761826992034912,0.9551123976707458,0.9488823413848876,0.973718285560608,0.967598557472229,0.9820643067359924,0.988956868648529,0.9619386196136476,66.66666667,46.0
Infosys,2018,0.9883105754852296,0.9900323748588562,0.990142285823822,0.9902918338775636,0.8430699706077576,0.962528645992279,0.9576786756515504,0.957570731639862,0.946091651916504,0.9767263531684875,0.9682047367095948,0.9727595448493958,0.9718419313430786,0.9633907675743104,0.990045428276062,0.9123967289924622,0.8967698812484741,0.961257815361023,0.9786522388458252,0.9294776916503906,0.9883310794830322,0.9185871481895448,0.953181803226471,0.8086693286895752,0.989618957042694,0.8702548146247864,0.8800285458564758,0.9811245203018188,0.9844894409179688,0.9810277223587036,0.9807173013687134,0.9729449152946472,0.97709321975708,0.9547879695892334,0.9818810820579528,0.9369624853134156,0.9165813326835632,0.9734270572662354,0.7789679765701294,0.9926435351371764,0.9600627422332764,0.8761658072471619,0.9869657754898072,0.9531662464141846,0.938407301902771,0.5875260233879089,0.9892194271087646,0.9876857399940492,0.9817776679992676,0.9639883637428284,0.5480442643165588,0.8792237639427185,0.9602578282356262,0.9825431108474731,0.8013651967048645,0.7151073217391968,0.7999408841133118,0.9751350283622742,0.9670393466949464,0.9391437768936156,0.986372411251068,0.9753351211547852,0.9226789474487304,0.9688326120376588,0.9781044721603394,0.9843087196350098,0.9834626317024232,0.9890578985214232,0.9293108582496644,65.2173913,45.0
ONGC,2014,0.9657419323921204,0.9878241419792176,0.9924606680870056,0.981278359889984,0.9069781303405762,0.9486862421035768,0.94367915391922,0.9834888577461244,0.9499720931053162,0.9842575192451476,0.9895506501197816,0.983241319656372,0.9826323986053468,0.9671734571456908,0.988749384880066,0.8989084362983704,0.9606816172599792,0.946398377418518,0.9646586775779724,0.9707693457603456,0.9735346436500548,0.9320422410964966,0.962945520877838,0.9481332302093506,0.9692261219024658,0.9388288855552672,0.9067640900611876,0.9573197364807128,0.9900043606758118,0.9827359914779664,0.9661683440208436,0.9613200426101683,0.8821516633033752,0.901391625404358,0.9786436557769777,0.9642746448516846,0.9325482249259948,0.9632916450500488,0.9020474553108216,0.993681252002716,0.9558132290840148,0.7986724376678467,0.9563162326812744,0.9565033316612244,0.8768296241760254,0.6231910586357117,0.9628505110740662,0.7544801235198975,0.9609236121177672,0.9027355909347534,0.4362999200820923,0.9279677867889404,0.9197262525558472,0.9827561974525452,0.8517197370529175,0.8440410494804382,0.8178377747535706,0.963745415210724,0.9824445247650146,0.9564443826675416,0.9779204726219176,0.984269917011261,0.9748554825782776,0.9666579961776732,0.9869406819343568,0.8562940955162048,0.976083755493164,0.9759706258773804,0.950366199016571,46.37681159,32.0
ONGC,2015,0.9675037264823914,0.9821434617042542,0.9933933615684508,0.9803141951560974,0.918640434741974,0.9576919674873352,0.9709901213645936,0.9693229794502258,0.9457044005393982,0.9715801477432252,0.9423776268959044,0.9791459441184998,0.9813621640205384,0.9723860621452332,0.9813862442970276,0.8964204788208008,0.9590632915496826,0.9575881958007812,0.9686251282691956,0.9672937989234924,0.975935995578766,0.9014233946800232,0.9341578483581544,0.8851052522659302,0.982270359992981,0.9322021007537842,0.9197014570236206,0.9345894455909728,0.9802252054214478,0.9759520888328552,0.9514923095703124,0.9503369927406312,0.965739905834198,0.9189488291740416,0.9606914520263672,0.9233796000480652,0.933854043483734,0.9567963480949402,0.8843386173248291,0.994501769542694,0.9662063121795654,0.8525614738464355,0.968256652355194,0.973602056503296,0.8771823048591614,0.5839486718177795,0.9540731906890868,0.8212657570838928,0.9790393114089966,0.9377281069755554,0.4090815186500549,0.889762282371521,0.9448894262313844,0.984708607196808,0.8080561757087708,0.8079637885093689,0.7915501594543457,0.9158156514167786,0.978874921798706,0.9533585906028748,0.9808995723724364,0.982403039932251,0.8799745440483093,0.9369353652000428,0.9821379780769348,0.9402121305465698,0.9706233739852904,0.9618155360221864,0.9474207162857056,52.17391304,36.0
ONGC,2017,0.9803765416145324,0.9856085777282716,0.9904115796089172,0.9914197325706482,0.9337838888168336,0.9795472621917723,0.9554388523101808,0.9814302921295166,0.953201174736023,0.946864366531372,0.9697984457015992,0.9910284280776978,0.9915289282798768,0.976058304309845,0.9800448417663574,0.9195733666419984,0.9847618937492372,0.9411453008651732,0.9899620413780212,0.9859076738357544,0.9344346523284912,0.931614339351654,0.9051400423049928,0.9211775660514832,0.9893211722373962,0.9711875319480896,0.907059907913208,0.9857691526412964,0.9778728485107422,0.9866582751274108,0.9535320401191713,0.9576584696769714,0.9602896571159364,0.9694514870643616,0.9761603474617004,0.8861490488052368,0.9387516975402832,0.967507302761078,0.8959610462188721,0.9946701526641846,0.9756597876548768,0.873998761177063,0.9836259484291076,0.9583794474601746,0.8792620301246643,0.6509932279586792,0.9862887859344482,0.921624481678009,0.9782803654670716,0.9178961515426636,0.6125912666320801,0.9556532502174376,0.9395751953125,0.9761853218078612,0.9160553812980652,0.8542817831039429,0.859106719493866,0.9845285415649414,0.9828667640686036,0.961435317993164,0.978915512561798,0.9565114974975586,0.8925725221633911,0.95004141330719,0.9714616537094116,0.866676926612854,0.9594604969024658,0.986432671546936,0.9509957432746888,52.17391304,36.0
ONGC,2018,0.9742342829704284,0.9865887761116028,0.9916173219680786,0.9854639172554016,0.9393272399902344,0.9660189747810364,0.9527950286865234,0.9633491635322572,0.9537606835365297,0.9781404137611388,0.9787346124649048,0.97343772649765,0.976044774055481,0.9630714654922484,0.9829221963882446,0.8967702984809875,0.9696418046951294,0.9680675268173218,0.9896157383918762,0.9894623160362244,0.966769814491272,0.9184877276420592,0.9089704751968384,0.9063814878463744,0.990763783454895,0.9892448782920836,0.914553701877594,0.9846320152282716,0.983038604259491,0.9801883101463318,0.9624800086021424,0.9726657271385192,0.9756558537483216,0.9032152891159058,0.954111635684967,0.9533452391624452,0.9368685483932496,0.9570059776306152,0.8531253933906555,0.9897385239601136,0.9491834044456482,0.8396764397621155,0.9741870164871216,0.9471863508224488,0.8235888481140137,0.6677088141441345,0.9817319512367249,0.9108645915985109,0.9934045672416688,0.9141782522201538,0.3422878384590149,0.931739628314972,0.9191954135894777,0.9922810196876526,0.9436780214309692,0.9591310024261476,0.803229808807373,0.9849903583526612,0.9886565804481506,0.9601312279701232,0.9797475934028624,0.962041974067688,0.8615680932998657,0.9602107405662536,0.9805768728256226,0.9658712148666382,0.9625532031059264,0.9839575290679932,0.9761444330215454,57.97101449,40.0
RIL,2014,0.9906206130981444,0.9910213947296144,0.9905558228492736,0.9927223324775696,0.963668406009674,0.9885669946670532,0.9495763778686525,0.9865795373916626,0.9534908533096312,0.9843523502349854,0.9719698429107666,0.9827784895896912,0.9850441217422484,0.9715719819068908,0.985763132572174,0.9360323548316956,0.9574033617973328,0.937053918838501,0.9596188068389891,0.9895620346069336,0.8876722455024719,0.9547940492630004,0.9362934231758118,0.9101699590682985,0.9784609079360962,0.9730088710784912,0.8886215686798096,0.9555667638778688,0.9837936758995056,0.982507824897766,0.945735514163971,0.936776876449585,0.9736367464065552,0.9620327353477478,0.9657990336418152,0.9742379784584044,0.9838102459907532,0.9780852198600768,0.8120157718658447,0.9945088028907776,0.990641474723816,0.8845700025558472,0.9743497967720032,0.989779531955719,0.8775064945220947,0.7919583916664124,0.9296053647994996,0.8608465194702148,0.9490557312965392,0.9152899980545044,0.652125895023346,0.9604702591896056,0.965840220451355,0.97551292181015,0.8995459079742432,0.9508901238441468,0.9010868668556212,0.9781869053840636,0.9403858184814452,0.9774258136749268,0.983224630355835,0.9600530862808228,0.8433672189712524,0.9782941937446594,0.982407569885254,0.9820076823234558,0.9871326088905334,0.9858402013778688,0.9843207001686096,72.46376812,50.0
RIL,2015,0.990859866142273,0.9881874918937684,0.9935088157653807,0.9876532554626464,0.9739912152290344,0.9856587648391724,0.9687715768814088,0.9873788952827454,0.9823034405708312,0.9909451603889464,0.9702090620994568,0.9809749722480774,0.982476532459259,0.9768691658973694,0.985469937324524,0.9653007388114928,0.9586747884750366,0.9150707721710204,0.9777010679244996,0.9842835068702698,0.8725224733352661,0.9313157200813292,0.928945541381836,0.8807271718978882,0.989446222782135,0.9755715131759644,0.9579496383666992,0.970748007297516,0.9806041121482848,0.9855053424835204,0.95783269405365,0.9621152281761168,0.9693094491958618,0.885690450668335,0.9629007577896118,0.9217011332511902,0.9600260257720948,0.985410213470459,0.938210129737854,0.996901512145996,0.9921424388885498,0.8602191805839539,0.939403235912323,0.9813222885131836,0.8410166501998901,0.6446102261543274,0.8927077054977417,0.8151172399520874,0.985939919948578,0.9340570569038392,0.6418893933296204,0.9484089612960817,0.9403436183929444,0.9778338670730592,0.9023007154464722,0.9126033186912536,0.8937655091285706,0.9508501291275024,0.960416853427887,0.9754290580749512,0.9823134541511536,0.9663856029510498,0.8552100658416748,0.9902101159095764,0.9822178483009338,0.9770748019218444,0.984025239944458,0.9931046962738036,0.978011190891266,73.91304348,51.0
RIL,2016,0.9864374995231628,0.9919301867485046,0.9939084053039552,0.9929745197296144,0.960902452468872,0.9816629886627196,0.984165608882904,0.9914783835411072,0.9852105379104614,0.9852436780929564,0.9794520139694214,0.9844803810119628,0.9780153632164,0.9873066544532776,0.9882876873016356,0.9578464031219482,0.9661785960197448,0.8998788595199585,0.9815486073493958,0.98408180475235,0.8628754019737244,0.9325984716415404,0.9100158214569092,0.865411639213562,0.9905393123626708,0.9811495542526244,0.9060823321342468,0.9297586679458618,0.9833136200904846,0.983720600605011,0.9446632862091064,0.9554039835929872,0.979131817817688,0.8424375653266907,0.986559510231018,0.9072275161743164,0.960619568824768,0.9913987517356871,0.960696816444397,0.9968149065971376,0.9835411310195924,0.9798606038093568,0.9497107863426208,0.9814557433128356,0.8691494464874268,0.8507707118988037,0.9755150079727172,0.9032939672470092,0.9772355556488036,0.9568358063697816,0.6599149703979492,0.9257170557975768,0.972500503063202,0.9937667846679688,0.8867136836051941,0.813547670841217,0.8570077419281006,0.9781925678253174,0.9742395281791688,0.9733591079711914,0.986697793006897,0.9794474244117736,0.8451622724533081,0.987924098968506,0.9825488328933716,0.9675322771072388,0.9865374565124512,0.992448091506958,0.9838300347328186,75.36231884,52.0
